"","year","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","candidateproportions","popsizes"
"151",2020,"SAN MIGUEL","35047","PRESIDENT","DONALD J TRUMP","REPUBLICAN",3421,11531,0.296678518775475,27144
"152",2020,"SANTA FE","35049","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",62530,82227,0.760455811351503,151946
"153",2020,"SANTA FE","35049","PRESIDENT","DONALD J TRUMP","REPUBLICAN",18329,82227,0.222907317547764,151946
"154",2020,"SIERRA","35051","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",2265,5945,0.380992430613961,10867
"155",2020,"SIERRA","35051","PRESIDENT","DONALD J TRUMP","REPUBLICAN",3542,5945,0.595794785534062,10867
"156",2020,"SOCORRO","35053","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",3722,7160,0.519832402234637,16541
"157",2020,"SOCORRO","35053","PRESIDENT","DONALD J TRUMP","REPUBLICAN",3255,7160,0.454608938547486,16541
"158",2020,"TAOS","35055","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",13121,17181,0.763692450963273,32593
"159",2020,"TAOS","35055","PRESIDENT","DONALD J TRUMP","REPUBLICAN",3715,17181,0.216227227751586,32593
"160",2020,"TORRANCE","35057","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",2344,7281,0.321933800302156,15486
"161",2020,"TORRANCE","35057","PRESIDENT","DONALD J TRUMP","REPUBLICAN",4772,7281,0.65540447740695,15486
"162",2020,"UNION","35059","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",383,1789,0.214086081609838,4026
"163",2020,"UNION","35059","PRESIDENT","DONALD J TRUMP","REPUBLICAN",1388,1789,0.775852431525992,4026
"164",2020,"VALENCIA","35061","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",14263,32277,0.441893608451839,77574
"165",2020,"VALENCIA","35061","PRESIDENT","DONALD J TRUMP","REPUBLICAN",17364,32277,0.537968212659169,77574
